# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = 123456)

# Run progress: 0,00% complete, ETA 00:03:40
# Fork: 1 of 2
# Warmup Iteration   1: 243,245 ns/op
# Warmup Iteration   2: 212,045 ns/op
# Warmup Iteration   3: 209,506 ns/op
# Warmup Iteration   4: 209,398 ns/op
# Warmup Iteration   5: 210,347 ns/op
# Warmup Iteration   6: 209,417 ns/op
# Warmup Iteration   7: 210,237 ns/op
# Warmup Iteration   8: 209,927 ns/op
# Warmup Iteration   9: 209,635 ns/op
# Warmup Iteration  10: 209,887 ns/op
# Warmup Iteration  11: 209,290 ns/op
# Warmup Iteration  12: 209,957 ns/op
# Warmup Iteration  13: 207,462 ns/op
# Warmup Iteration  14: 209,323 ns/op
# Warmup Iteration  15: 208,716 ns/op
Iteration   1: 209,309 ns/op
Iteration   2: 210,225 ns/op
Iteration   3: 209,034 ns/op
Iteration   4: 209,241 ns/op
Iteration   5: 208,319 ns/op
Iteration   6: 210,044 ns/op
Iteration   7: 209,671 ns/op
Iteration   8: 208,448 ns/op
Iteration   9: 210,718 ns/op
Iteration  10: 209,856 ns/op
Iteration  11: 209,370 ns/op
Iteration  12: 209,511 ns/op
Iteration  13: 209,229 ns/op
Iteration  14: 209,290 ns/op
Iteration  15: 209,077 ns/op
Iteration  16: 209,008 ns/op
Iteration  17: 209,244 ns/op
Iteration  18: 209,529 ns/op
Iteration  19: 208,696 ns/op
Iteration  20: 209,737 ns/op
Iteration  21: 209,548 ns/op
Iteration  22: 209,291 ns/op
Iteration  23: 209,312 ns/op
Iteration  24: 210,560 ns/op
Iteration  25: 209,612 ns/op
Iteration  26: 209,889 ns/op
Iteration  27: 209,212 ns/op
Iteration  28: 208,619 ns/op
Iteration  29: 209,120 ns/op
Iteration  30: 209,176 ns/op
Iteration  31: 209,354 ns/op
Iteration  32: 209,748 ns/op
Iteration  33: 208,932 ns/op
Iteration  34: 209,256 ns/op
Iteration  35: 209,166 ns/op
Iteration  36: 209,426 ns/op
Iteration  37: 208,160 ns/op
Iteration  38: 210,062 ns/op
Iteration  39: 209,876 ns/op
Iteration  40: 209,145 ns/op

# Run progress: 25,00% complete, ETA 00:02:47
# Fork: 2 of 2
# Warmup Iteration   1: 244,969 ns/op
# Warmup Iteration   2: 209,317 ns/op
# Warmup Iteration   3: 206,330 ns/op
# Warmup Iteration   4: 203,785 ns/op
# Warmup Iteration   5: 203,095 ns/op
